latitude (°),LONGITUDE,cap,COD,Gibberish1,Gibberish2,Gibberish3,Gibberish4,Gibberish5,Gibberish6
"49°16'19.4""N ","122°59'59.7""W",6,2025-01-01,0.138109333,0.305426092,0.503197514,0.633621246,0.039711211,0.223325084
14.224475,76.397126,7.5,2025-12-02,0.415943987,0.701169168,0.874515457,0.435614378,0.875655259,0.043459836
15.13703,76.924494,24,2025-09-03,0.872639039,0.875529082,0.254320605,0.513377446,0.02178421,0.894986643
12.969895,77.580491,30,2025-06-04,0.160086109,0.457467111,0.062880269,0.956226535,0.585681463,0.983876925
19.476592,73.057311,9,2025-01-05,0.621305695,0.959960905,0.77996058,0.629706768,0.848328852,0.976913603
19.536606,72.996685,5,2025-01-06,0.609060491,0.640177097,0.688561949,0.756501734,0.344787655,0.926245309
19.574794,73.014908,7,2025-01-07,0.788026937,0.142265024,0.79973526,0.896286437,0.531166534,0.819075191
19.533473,73.006168,6,2025-02-08,0.801483383,0.873248392,0.335063844,0.905314259,0.181203054,0.508992421
17.666248,83.202537,10,2025-03-09,0.835906685,0.819292665,0.052682361,0.54421497,0.131191184,0.029362963
23.919431,73.143799,2.5,2025-02-09,0.345650722,0.836131504,0.619527983,0.984238755,0.171863954,0.907432903
23.747486,73.388411,2.5,2025-03-10,0.107207855,0.133154912,0.618741237,0.779085844,0.187940882,0.308055051
23.718127,73.355953,2.5,2025-02-10,0.869021751,0.574663911,0.259956955,0.945169425,0.35467633,0.04147352
23.776352,73.343644,2.5,2025-03-11,0.153157336,0.4243984,0.073920179,0.511726729,0.037380541,0.378362179
26.703875,92.704826,5.36,2025-02-11,0.464212885,0.649702767,0.256462649,0.509621492,0.58067025,0.620367037
12.301655,76.378652,2.5,2025-03-12,0.828000277,0.226423524,0.572386359,0.381905619,0.595801036,0.225538617
12.301655,76.378652,2.5,2025-02-12,0.19349332,0.987374626,0.015914837,0.737968738,0.079068718,0.981213018
11.7418,78.9823,10.355,2025-03-13,0.069457177,0.082986962,0.191466891,0.504072585,0.792860019,0.571357275
